symbol,yahoo_symbol,company_name,nse_company_name,isin,sector,industry,price,market_cap_cr,trailing_pe,forward_pe,price_to_book,roe_percent,debt_to_equity_percent,revenue_growth_percent,earnings_growth_percent,profit_margin_percent,operating_margin_percent,dividend_yield_percent,cash_conversion_ratio,beta,fifty_two_week_high,fifty_two_week_low,fifty_two_week_position,quality_score,growth_score,valuation_score,size_liquidity_score,buffett_munger_score,graham_value_score,lynch_garp_score,fisher_growth_score,greenblatt_score,marks_risk_score,india_compounder_score,entry_score,base_quant_score,enhanced_screener_score,quant_score,investor_master_score,roce_percent,roe_percent_screener,sales_growth_5y,profit_growth_5y,promoter_holding,promoter_holding_change_4q,promoter_pledge_percent,fii_holding,dii_holding,fii_holding_change_4q,dii_holding_change_4q,operating_cash_flow_5y,capex_5y,free_cash_flow_5y,cash_conversion_5y,fcf_calculation_method,current_pe,median_pe_5y,price_to_median_pe,latest_quarter_sales_growth,latest_quarter_profit_growth,quarterly_sales_consistency,quarterly_profit_consistency,data_completeness_score,sector_scoring_group,screener_data_available,net_interest_margin,gross_npa_percent,net_npa_percent,casa_ratio,capital_adequacy_ratio,estimated_fair_value,strong_buy_below,accumulate_below,expensive_above,quant_zone,investor_style_match,red_flags
GODFRYPHLP,GODFRYPHLP.NS,Godfrey Phillips India Limited,Godfrey Phillips India Limited,INE260B01028,Consumer Defensive,Tobacco,2046.5,31921.67,20.92108,18.256021,5.1381774,26.593,3.757,13.6,86.1,23.878,29.102,179.0,0.3396968359625013,0.299,3947.0,1832.1,0.1014,92.0,92.8,77.71,90.96,91.14,73.8,94.39,93.6,84.85,92.19,89.23,93.31,89.46,82.93,87.5,87.5,32.8,26.6,38.0,43.0,72.58,0.0,,7.8,3.66,-1.52,-0.19,2130.0,174.6,1955.4,0.462,investing_cash_flow_proxy_discounted,21.0,,,13.6,86.07,75.0,100.0,84.62,fmcg,True,,,,,,3912.8,3130.24,3521.52,4695.36,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Weak cash conversion
IOC,IOC.NS,Indian Oil Corporation Limited,Indian Oil Corporation Limited,INE242A01010,Energy,Oil & Gas Refining & Marketing,139.92,197584.37,4.619346,7.842882,0.8776706,20.969999,58.446,6.7,78.10000000000001,5.367,9.243,581.0,1.8087611046490404,0.786,188.96,130.22,0.1651,75.12,79.08,100.0,100.0,72.35,94.16,90.59,76.18,87.56,91.84,85.02,100.0,88.35,83.85,87.0,87.0,18.8,20.7,14.0,15.0,51.5,0.0,,9.08,9.52,1.6,-0.77,236201.0,80905.2,155295.8,1.711,investing_cash_flow_proxy_discounted,4.75,,,6.67,81.36,75.0,100.0,84.62,commodity_cyclical,True,,,,,,1211.6,969.28,1090.44,1453.92,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,
WAAREEENER,WAAREEENER.NS,WAAREE ENERGIES LIMITED,Waaree Energies Limited,INE377N01017,Technology,Solar,2711.8,78005.29,21.033121,15.535439,5.3998623,31.570998,21.402,111.8,71.2,13.986,15.048,15.0,0.4383773999422346,,3865.0,2403.0,0.2112,82.09,100.0,77.0,100.0,76.42,71.74,97.59,94.03,79.55,80.29,89.13,93.1,88.65,82.77,86.89,86.89,38.8,32.8,143.0,,64.12,-0.19,,8.57,4.08,5.89,1.22,9348.0,10119.6,-771.6,1.219,investing_cash_flow_proxy_discounted,20.7,,,111.79,74.84,100.0,100.0,76.92,commodity_cyclical,True,,,,,,5157.2,4125.76,4641.48,6188.64,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Weak cash conversion
VEDL,VEDL.NS,Vedanta Limited,Vedanta Limited,INE205A01025,Basic Materials,Other Industrial Metals & Mining,264.6,103321.06,14.898649,9.07254,2.0809085,20.403999,48.044,-41.3,92.2,22.619,33.931,1296.0,8.27204164795588,0.276,795.0,249.7,0.0273,93.65,64.0,95.29,100.0,95.57,83.12,83.8,78.94,94.47,88.29,86.04,98.59,89.67,79.73,86.69,86.69,16.1,38.2,8.0,22.0,54.72,-1.66,,15.78,10.83,5.18,-5.64,182743.0,35927.4,146815.6,2.0,investing_cash_flow_proxy_discounted,5.97,,,47.48,88.51,75.0,50.0,84.62,commodity_cyclical,True,,,,,,710.4,568.32,639.36,852.48,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Negative revenue growth
HUDCO,HUDCO.NS,Housing and Urban Development Corporation Limited,Housing & Urban Development Corporation Limited,INE031A01017,Financial Services,Credit Services,196.83,39403.4,9.866165,7.8732,1.7925414,20.200000000000003,645.775,6.0,172.2,87.931997,51.505,282.0,-8.405827848134166,0.867,246.85,159.0,0.4306,70.2,77.5,100.0,94.7,83.61,76.3,89.88,84.8,85.1,60.71,82.03,96.39,85.31,89.92,86.69,86.69,8.41,20.2,21.0,31.0,75.0,0.0,,2.22,11.03,-0.24,1.34,-77459.0,1044.6,-78503.6,-6.309,investing_cash_flow_proxy_discounted,10.0,,,25.24,172.12,100.0,75.0,84.62,nbfc,True,,,,,,798.0,558.6,678.3,957.6,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Debt/equity above 200%; Weak cash conversion; Sector-specific manual review required: nbfc
OIL,OIL.NS,Oil India Limited,Oil India Limited,INE274J01014,Energy,Oil & Gas Integrated,458.8,74628.76,11.12512,7.8753805,1.2865306,12.743,58.741,5.2,60.4,19.500999,27.781,421.0,1.6138741315024667,0.255,531.0,384.6,0.5068,82.91,75.7,100.0,100.0,90.46,92.01,89.06,77.94,91.45,92.95,86.73,94.86,88.98,79.27,86.07,86.07,11.6,12.3,12.0,33.0,56.66,0.0,,7.67,19.43,-0.84,1.12,53669.0,29890.8,23778.2,1.407,investing_cash_flow_proxy_discounted,10.6,,,5.51,61.92,50.0,50.0,84.62,commodity_cyclical,True,,,,,,1649.6,1319.68,1484.64,1979.52,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,
HINDPETRO,HINDPETRO.NS,Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,INE094A01015,Energy,Oil & Gas Refining & Marketing,385.15,81953.08,4.6764207,6.911375,1.2503207,30.929002,85.369,4.9,77.5,4.1050002,8.081000000000001,596.0,2.000936363930179,0.938,508.45,316.2,0.3586,71.61,75.03,100.0,100.0,69.45,91.15,88.76,69.39,85.81,86.58,82.57,97.83,86.06,85.42,85.87,85.87,22.2,30.9,11.0,17.0,54.9,0.0,,17.26,19.58,4.71,-3.97,86535.0,36065.4,50469.6,2.105,investing_cash_flow_proxy_discounted,4.71,,,4.84,77.6,75.0,100.0,84.62,commodity_cyclical,True,,,,,,3294.4,2306.08,2800.24,3953.28,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Graham/Klarman Value; Peter Lynch GARP; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,
LTM,LTM.NS,LTM Limited,LTM Limited,INE214T01019,Technology,Information Technology Services,3965.3,117555.76,22.476477,17.287485,4.8930583,21.966,9.874,18.0,16.900000000000002,11.8669994,15.501,188.0,0.941169698825001,0.255,6429.5,3528.0,0.1507,87.82,88.84,76.94,100.0,79.94,72.96,84.24,83.17,82.38,100.0,87.78,93.08,88.12,78.22,85.15,85.15,29.6,23.1,23.0,-2.0,68.49,-0.07,,6.31,16.73,-0.31,0.63,21361.0,5499.0,15862.0,0.898,investing_cash_flow_proxy_discounted,21.0,,,17.96,17.05,100.0,75.0,84.62,commodity_cyclical,True,,,,,,7056.8,5645.44,6351.12,8468.16,TOP CANDIDATE - STRONG BUY ZONE FOR QUALITATIVE CHECK,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,
CHOLAHLDNG,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,Cholamandalam Financial Holdings Limited,INE149A01033,Financial Services,Credit Services,1516.0,28467.06,11.656158,7.542289,1.8422002,18.035,621.271,15.2,12.0,11.547,37.148,9.0,-12.30200863883233,0.389,2108.0,1305.0,0.2628,62.4,78.89,98.4,89.23,79.0,73.67,87.4,78.5,80.4,61.85,78.57,99.26,82.95,89.44,84.9,84.9,9.75,17.5,24.0,18.0,46.44,0.0,,13.0,26.89,-5.32,5.46,-135027.0,3618.6,-138645.6,-7.06,investing_cash_flow_proxy_discounted,11.7,,,16.3,19.38,100.0,100.0,84.62,nbfc,True,,,,,,4643.14,3250.2,3946.67,5571.77,WATCHLIST - QUALITATIVE CHECK OPTIONAL,Buffett-Munger Quality; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Debt/equity above 200%; Weak cash conversion; Sector-specific manual review required: nbfc
BANKINDIA,BANKINDIA.NS,Bank of India Limited,Bank of India,INE084A01016,Financial Services,Banks - Regional,142.2,64738.93,5.9823303,5.557401,0.7198396,12.056,,10.1,18.6,31.886,44.996,323.0,-10.32519752908608,0.762,178.36,108.81,0.4801,65.08,79.69,100.0,100.0,80.79,85.0,90.86,75.75,82.54,75.17,81.69,95.4,84.54,85.19,84.73,84.73,5.93,12.4,39.0,14.0,73.38,0.0,,6.87,13.96,3.34,-2.01,-23682.0,2003.4,-25685.4,-0.702,investing_cash_flow_proxy_discounted,6.17,,,5.92,18.72,100.0,75.0,84.62,bank,True,,,,,,884.24,618.97,751.6,1061.09,HIGH PRIORITY QUALITATIVE CHECK,Buffett-Munger Quality; Graham/Klarman Value; Peter Lynch GARP; Philip Fisher Growth; Greenblatt Quality+Value; Indian QGLP Compounder; Attractive Entry Zone,Weak cash conversion; Sector-specific manual review required: bank
